name,asset_class,asset_subclass,region,country_market,sector_style,market_cap_focus,maturity_focus,credit_quality,commodity_group,base_currency,hedged,hedge_currency,proxy_flag,proxy_type,data_source,validation_status,ticker_yfinance_pr,ticker_yfinance_tr,ticker_investiny,ticker_fred_tr,ticker_fred_yield,ticker_fred_oas,ticker_fred_spread,ticker_fred_duration,data_start
FTSE All-Share,Equity,Equity Broad,UK,United Kingdom,N/A,Broad,N/A,N/A,N/A,GBP,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^FTAS,ISFA.L,,,,,,,11/02/1980
FTSE SmallCap,Equity,Equity Small Cap,UK,United Kingdom,N/A,Small,N/A,N/A,N/A,GBP,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^FTSC,,,,,,,,19/02/1993
DAX 40,Equity,Equity Large Cap,Europe,Germany,N/A,Large,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^GDAXI,EXS1.DE,,,,,,,30/12/1987
MDAX,Equity,Equity Mid Cap,Europe,Germany,N/A,Mid,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^MDAXI,EXS3.DE,,,,,,,29/02/1996
SDAX,Equity,Equity Small Cap,Europe,Germany,N/A,Small,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SDAXI,,,,,,,,05/03/2013
TecDAX,Equity,,Europe,Germany,N/A,N/A,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^TECDAX,,,,,,,,02/01/1998
CAC 40,Equity,Equity Large Cap,Europe,France,N/A,Large,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^FCHI,C40.PA,,,,,,,01/03/1990
CAC Mid 60,Equity,Equity Mid Cap,Europe,France,N/A,Mid,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^CM100,,,,,,,,25/01/1999
FTSE MIB Index,Equity,,Europe,Italy,N/A,N/A,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,FTSEMIB.MI,IMIB.MI,,,,,,,31/12/1997
Nikkei 225,Equity,Equity Large Cap,Japan,Japan,N/A,Large,N/A,N/A,N/A,JPY,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^N225,1321.T,,,,,,,05/01/1965
