name,asset_class,asset_subclass,region,country_market,sector_style,market_cap_focus,maturity_focus,credit_quality,commodity_group,base_currency,hedged,hedge_currency,proxy_flag,proxy_type,data_source,validation_status,ticker_yfinance_pr,ticker_yfinance_tr,ticker_investiny,ticker_fred_tr,ticker_fred_yield,ticker_fred_oas,ticker_fred_spread,ticker_fred_duration,data_start
CBOE VXEFA - EAFE Volatility,Volatility,,North America,United States,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^VXEFA,,,,,,,,26/06/2023
CBOE VXEEM - EM Volatility,Volatility,,North America,United States,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,UNAVAILABLE,^VXEEM,,,,,,,,
MOVE Index - Bond Volatility,Volatility,,,,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^MOVE,,,,,,,,12/11/2002
NYSE FANG+ Index,Equity,,,,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^NYFANG,,,,,,,,22/09/2014
S&P 500 Equal Weight Index,Equity,Equity Large Cap,North America,United States,N/A,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^SPXEW,RSP,,,,,,,08/12/2006
Russell Midcap Growth Index,Equity,Equity Mid Cap (Growth),North America,United States,Growth,Mid,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^RMCCG,IWP,,,,,,,02/08/2001
Russell Midcap Value Index,Equity,Equity Mid Cap (Value),North America,United States,Value,Mid,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^RMCCV,IWS,,,,,,,02/08/2001
Wilshire US Large-Cap Growth Index,Equity,Equity Large Cap (Growth),North America,United States,Growth,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Wilshire US Large-Cap Value Index,Equity,Equity Large Cap (Value),North America,United States,Value,Large,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Wilshire US Mid-Cap Growth Index,Equity,Equity Mid Cap (Growth),North America,United States,Growth,Mid,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Wilshire US Mid-Cap Value Index,Equity,Equity Mid Cap (Value),North America,United States,Value,Mid,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Wilshire US Small-Cap Growth Index,Equity,Equity Small Cap (Growth),North America,United States,Growth,Small,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Wilshire US Small-Cap Value Index,Equity,Equity Small Cap (Value),North America,United States,Value,Small,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
iShares MSCI USA Momentum Factor ETF,Equity,Factor,North America,United States,Factor,Large,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,MTUM,,,,,,,18/04/2013
Vanguard Dividend Appreciation ETF,Equity,Factor,North America,United States,Value,Large,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,VIG,,,,,,,02/05/2006
iShares MSCI USA Quality Factor ETF,Equity,Factor,North America,United States,Factor,Large,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,QUAL,,,,,,,18/07/2013
Schwab US Dividend Equity ETF,Equity,Factor,North America,United States,Value,Large,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,SCHD,,,,,,,20/10/2011
Invesco S&P 500 Low Volatility ETF,Equity,Factor,North America,United States,Factor,Large,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,SPLV,,,,,,,05/05/2011
iShares MSCI USA Min Vol Factor ETF,Equity,Factor,North America,United States,Factor,Large,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,USMV,,,,,,,20/10/2011
iShares MSCI Europe Momentum Factor UCITS ETF,Equity,Factor,Europe,Europe,Factor,N/A,N/A,N/A,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IEFM.L,,,,,,,19/01/2015
iShares MSCI Europe Min Vol UCITS ETF,Equity,Factor,Europe,Europe,Factor,N/A,N/A,N/A,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,EUN0.DE,,,,,,,18/02/2013
iShares MSCI Europe Quality Factor UCITS ETF,Equity,Factor,Europe,Europe,Factor,N/A,N/A,N/A,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IEFQ.L,,,,,,,19/01/2015
SPDR S&P UK Dividend Aristocrats UCITS ETF,Equity,Factor,UK,United Kingdom,Value,N/A,N/A,N/A,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,UKDV.L,,,,,,,28/02/2012
SPDR S&P Euro Dividend Aristocrats UCITS ETF,Equity,Factor,Europe,Germany,Value,N/A,N/A,N/A,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,SPYW.DE,,,,,,,29/02/2012
iShares MSCI World Small Cap UCITS ETF,Equity,Equity Small Cap,Global,Global,N/A,Small,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,WSML.L,,,,,,,27/03/2018
iShares MSCI World Quality Factor UCITS ETF,Equity,Factor,Global,Global,Factor,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IWQU.L,,,,,,,06/10/2014
iShares MSCI World Min Vol UCITS ETF,Equity,Factor,Global,Global,Factor,Broad,N/A,N/A,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,MINV.L,,,,,,,30/11/2012
iShares MSCI World Momentum UCITS ETF,Equity,Factor,Global,Global,Factor,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IWMO.L,,,,,,,06/10/2014
SPDR S&P Global Dividend Aristocrats UCITS ETF,Equity,Factor,Global,Global,Value,N/A,N/A,N/A,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,ZPRG.DE,,,,,,,16/05/2013
iShares MSCI World Value Factor UCITS ETF,Equity,Factor,Global,Global,Value,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IWVL.L,,,,,,,06/10/2014
iShares MSCI ACWI Min Vol Factor ETF,Equity,Factor,Global,Global,Factor,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,ACWV,,,,,,,20/10/2011
iShares MSCI EAFE Small-Cap ETF,Equity,Equity Small Cap,North America,United States,Blend,Small,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,SCZ,,,,,,,12/12/2007
iShares Latin America 40 ETF,Equity,Equity Broad,North America,United States,Blend,Broad,N/A,N/A,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,ILF,,,,,,,26/10/2001
DXY Dollar Index,FX,,North America,United States,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,DX-Y.NYB,,,,,,,,04/01/1971
GBP/USD,FX,,Global,Global,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,GBPUSD=X,,,,,,,,01/12/2003
EUR/USD,FX,,Global,Global,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,EURUSD=X,,,,,,,,01/12/2003
USD/JPY,FX,,Global,Global,N/A,N/A,N/A,N/A,N/A,JPY,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,USDJPY=X,,,,,,,,30/10/1996
USD/CNY,FX,,Global,Global,N/A,N/A,N/A,N/A,N/A,CNY,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,CNY=X,,,,,,,,25/06/2001
USD/INR,FX,,Global,Global,N/A,N/A,N/A,N/A,N/A,INR,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,INR=X,,,,,,,,01/12/2003
USD/KRW,FX,,Global,Global,N/A,N/A,N/A,N/A,N/A,KRW,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,KRW=X,,,,,,,,01/12/2003
USD/TWD,FX,,Global,Global,N/A,N/A,N/A,N/A,N/A,TWD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,TWD=X,,,,,,,,24/03/2004
Bitcoin,Crypto,,Global,Global,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,BTC-USD,,,,,,,,17/09/2014
Ethereum,Crypto,,Global,Global,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,ETH-USD,,,,,,,,09/11/2017
US 3-Month Treasury Yield,Rates,,,,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^IRX,,,,,,,,04/01/1960
US 5-Year Treasury Yield,Rates,,,,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^FVX,,,,,,,,02/01/1962
US 10-Year Treasury Yield,Rates,,,,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^TNX,,,,,,,,02/01/1962
US 30-Year Treasury Yield,Rates,,,,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,yfinance PR,CONFIRMED,^TYX,,,,,,,,15/02/1977
US 2-Year Treasury Yield,Rates,,,,N/A,N/A,N/A,N/A,N/A,,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,DGS2,,,,01/06/1976
UK 10-Year Gilt Yield,Rates,,UK,United Kingdom,N/A,N/A,N/A,N/A,N/A,GBP,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,IRLTLT01GBM156N,,,,01/01/1960
Germany 10-Year Bund Yield,Rates,,Europe,Germany,N/A,N/A,N/A,N/A,N/A,EUR,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,IRLTLT01DEM156N,,,,01/05/1956
Japan 10-Year JGB Yield,Rates,,Japan,Japan,N/A,N/A,N/A,N/A,N/A,JPY,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,IRLTLT01JPM156N,,,,01/01/1989
5-Year Breakeven Inflation Rate,Rates,,,,N/A,N/A,N/A,N/A,N/A,,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,T5YIE,,,,02/01/2003
10-Year Breakeven Inflation Rate,Rates,,,,N/A,N/A,N/A,N/A,N/A,,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,T10YIE,,,,02/01/2003
5-Year 5-Year Forward Inflation Rate,Rates,,,,N/A,N/A,N/A,N/A,N/A,,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,T5YIFR,,,,02/01/2003
US 10Y-2Y Treasury Yield Spread,Spread,,,,N/A,N/A,N/A,N/A,N/A,,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,,,T10Y2Y,,01/06/1976
US 10Y-3M Treasury Yield Spread,Spread,,,,N/A,N/A,N/A,N/A,N/A,,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,,,T10Y3M,,04/01/1982
Federal Funds Effective Rate,Rates,,North America,United States,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,DFF,,,,01/07/1954
Secured Overnight Financing Rate (SOFR),Rates,,North America,United States,N/A,N/A,N/A,N/A,N/A,USD,FALSE,N/A,FALSE,N/A,UNAVAILABLE,CONFIRMED,,,,,SOFR,,,,03/04/2018
iShares Core Global Aggregate Bond UCITS ETF,Fixed Income,Bond Aggregate,Global,Global,N/A,N/A,,,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,AGGG.L,,,,,,,21/11/2017
iShares Core GBP Corporate Bond UCITS ETF,Fixed Income,Corp IG,UK,United Kingdom,N/A,N/A,,Corp IG,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,SLXX.L,,,,,,,02/01/2008
iShares USD High Yield Corp Bond UCITS ETF,Fixed Income,Corp HY,UK,United Kingdom,N/A,N/A,,High Yield,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IHYU.L,,,,,,,13/09/2011
Vanguard USD EM Government Bond UCITS ETF,Fixed Income,Emerging Market Debt,UK,United Kingdom,N/A,N/A,,EMD,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,VDET.L,,,,,,,06/12/2016
iShares Core UK Gilts UCITS ETF,Fixed Income,Govt Bond,UK,United Kingdom,N/A,N/A,Long (10yr+),Government,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IGLT.L,,,,,,,02/01/2008
iShares UK Short Duration Gilt UCITS ETF,Fixed Income,Govt Bond,UK,United Kingdom,N/A,N/A,Short (1-3yr),Government,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IGLS.L,,,,,,,17/04/2009
iShares China CNY Bond UCITS ETF,Fixed Income,Govt Bond,Asia Pacific,China,N/A,N/A,,Government,N/A,CNY,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,CNYB.L,,,,,,,24/07/2019
ICE BofA US Corporate IG OAS,Spread,Corp IG,North America,United States,N/A,N/A,,Corp IG,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLC0A0CM,,,31/12/1996
ICE BofA US AAA Corporate OAS,Spread,Credit Spread,North America,United States,N/A,N/A,,AAA,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLC0A1CAAA,,,31/12/1996
ICE BofA US AA Corporate OAS,Spread,Credit Spread,North America,United States,N/A,N/A,,AA,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLC0A2CAA,,,31/12/1996
ICE BofA US A Corporate OAS,Spread,Credit Spread,North America,United States,N/A,N/A,,A,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLC0A3CA,,,31/12/1996
ICE BofA US BBB Corporate OAS,Spread,Credit Spread,North America,United States,N/A,N/A,,BBB,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLC0A4CBBB,,,31/12/1996
ICE BofA US High Yield OAS,Spread,Corp HY,North America,United States,N/A,N/A,,High Yield,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLH0A0HYM2,,,31/12/1996
ICE BofA US BB High Yield OAS,Spread,Corp HY,North America,United States,N/A,N/A,,BB,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLH0A1HYBB,,,31/12/1996
ICE BofA US Single-B High Yield OAS,Spread,Corp HY,North America,United States,N/A,N/A,,B,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLH0A2HYB,,,31/12/1996
ICE BofA US CCC & Lower HY OAS,Spread,Corp HY,North America,United States,N/A,N/A,,CCC & Lower,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLH0A3HYC,,,31/12/1996
ICE BofA Euro High Yield OAS,Spread,Corp HY,Europe,Europe,N/A,N/A,,High Yield,N/A,EUR,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLHE00EHYIOAS,,,31/12/1997
ICE BofA EM Corporate Plus OAS,Spread,Credit Spread,Emerging Markets,Emerging Markets,N/A,N/A,,EMD,N/A,USD,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLEMCBPIOAS,,,31/12/1998
ICE BofA EM High Yield Corporate OAS,Spread,Corp HY,,,N/A,N/A,,High Yield,N/A,,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLEMHBHYCRPIOAS,,,31/12/1998
ICE BofA EM Asia Corporate OAS,Spread,Credit Spread,,,N/A,N/A,,EMD,N/A,,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLEMRACRPIASIAOAS,,,31/12/1998
ICE BofA EM BBB Corporate OAS,Spread,Credit Spread,,,N/A,N/A,,BBB,N/A,,FALSE,N/A,TRUE,FRED,FRED,CONFIRMED,,,,,,BAMLEM2BRRBBBCRPIOAS,,,31/12/1998
ICE BofA US Treasury Index,Fixed Income,Govt Bond,North America,United States,N/A,N/A,Medium (3-7yr),Government,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,GOVT,,,,,,,24/02/2012
ICE BofA 1-3 Year US Treasury Index,Fixed Income,Govt Bond,North America,United States,N/A,N/A,Short (1-3yr),Government,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,SHY,,,,,,,30/07/2002
ICE BofA 10+ Year US Treasury Index,Fixed Income,Govt Bond,North America,United States,N/A,N/A,Long (10yr+),Government,N/A,USD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,TLT,,,,,,,30/07/2002
ICE BofA US Inflation-Linked Treasury Index (TIPS),Fixed Income,Government Inflation-Linked,North America,United States,N/A,N/A,Broad,Government,N/A,USD,FALSE,N/A,TRUE,ETF,FRED,CONFIRMED,,TIP,,,DFII10,,,,05/12/2003
ICE BofA US Corporate Index,Fixed Income,Corp IG,North America,United States,N/A,N/A,Broad,Corp IG,N/A,USD,FALSE,N/A,TRUE,ETF,FRED,CONFIRMED,,LQD,,BAMLCC0A0CMTRIV,BAMLC0A0CMEY,BAMLC0A0CM,,,30/07/2002
ICE BofA US High Yield Index,Fixed Income,Corp HY,North America,United States,N/A,N/A,Broad,High Yield,N/A,USD,FALSE,N/A,TRUE,ETF,FRED,CONFIRMED,,HYG,,BAMLHYH0A0HYM2TRIV,,BAMLH0A0HYM2,,,11/04/2007
ICE BofA UK Gilt Index,Fixed Income,Govt Bond,UK,United Kingdom,N/A,N/A,Long (10yr+),Government,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IGLT.L,,,,,,,02/01/2008
ICE BofA UK Gilt Index (USD Hedged),Fixed Income,Govt Bond,UK,United Kingdom,N/A,N/A,,Government,N/A,GBP,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 1-3 Year UK Gilt Index,Fixed Income,Govt Bond,UK,United Kingdom,N/A,N/A,Short (1-3yr),Government,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IGLS.L,,,,,,,17/04/2009
ICE BofA 1-3 Year UK Gilt Index (USD Hedged),Fixed Income,Govt Bond,UK,United Kingdom,N/A,N/A,Short (1-3yr),Government,N/A,GBP,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 10+ Year UK Gilt Index,Fixed Income,Govt Bond,UK,United Kingdom,N/A,N/A,Long (10yr+),Government,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IGLT.L,,,,,,,02/01/2008
ICE BofA 10+ Year UK Gilt Index (USD Hedged),Fixed Income,Govt Bond,UK,United Kingdom,N/A,N/A,Long (10yr+),Government,N/A,GBP,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA UK Inflation-Linked Gilt Index,Fixed Income,Government Inflation-Linked,UK,United Kingdom,N/A,N/A,,Government,N/A,GBP,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,INXG.L,,,,,,,02/01/2008
ICE BofA UK Inflation-Linked Gilt Index (USD Hedged),Fixed Income,Government Inflation-Linked,UK,United Kingdom,N/A,N/A,,Government,N/A,GBP,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA Euro Government Bond Index,Fixed Income,Govt Bond,Europe,Europe,N/A,N/A,,Government,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IEAG.L,,,,,,,06/03/2009
ICE BofA Euro Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Europe,Europe,N/A,N/A,,Government,N/A,EUR,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 1-3 Year Euro Government Bond Index,Fixed Income,Govt Bond,Europe,Europe,N/A,N/A,Short (1-3yr),Government,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IBGS.L,,,,,,,02/01/2008
ICE BofA 1-3 Year Euro Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Europe,Europe,N/A,N/A,Short (1-3yr),Government,N/A,EUR,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 10+ Year Euro Government Bond Index,Fixed Income,Govt Bond,Europe,Europe,N/A,N/A,Long (10yr+),Government,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IBGL.L,,,,,,,02/01/2008
ICE BofA 10+ Year Euro Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Europe,Europe,N/A,N/A,Long (10yr+),Government,N/A,EUR,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA Euro Inflation-Linked Government Bond Index,Fixed Income,Government Inflation-Linked,Europe,Europe,N/A,N/A,,Inflation-Linked,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IBCI.L,,,,,,,02/01/2008
ICE BofA Euro Inflation-Linked Government Bond Index (USD Hedged),Fixed Income,Government Inflation-Linked,Europe,Europe,N/A,N/A,,Government,N/A,EUR,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA Japan Government Bond Index,Fixed Income,Govt Bond,Japan,Japan,N/A,N/A,,Government,N/A,JPY,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,2561.T,,,,,,,21/02/2020
ICE BofA Japan Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Japan,Japan,N/A,N/A,,Government,N/A,JPY,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 1-3 Year Japan Government Bond Index,Fixed Income,Govt Bond,Japan,Japan,N/A,N/A,Short (1-3yr),Government,N/A,JPY,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 1-3 Year Japan Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Japan,Japan,N/A,N/A,Short (1-3yr),Government,N/A,JPY,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 10+ Year Japan Government Bond Index,Fixed Income,Govt Bond,Japan,Japan,N/A,N/A,Long (10yr+),Government,N/A,JPY,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 10+ Year Japan Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Japan,Japan,N/A,N/A,Long (10yr+),Government,N/A,JPY,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Japan Inflation-Linked Government Bond Index,Fixed Income,Government Inflation-Linked,Japan,Japan,N/A,N/A,,Inflation-Linked,N/A,JPY,FALSE,N/A,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Japan Inflation-Linked Government Bond Index (USD Hedged),Fixed Income,Government Inflation-Linked,Japan,Japan,N/A,N/A,,Government,N/A,JPY,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA Canada Government Bond Index,Fixed Income,Govt Bond,North America,Canada,N/A,N/A,,Government,N/A,CAD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,XGB.TO,,,,,,,10/11/2006
ICE BofA Canada Government Bond Index (USD Hedged),Fixed Income,Govt Bond,North America,Canada,N/A,N/A,,Government,N/A,CAD,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 1-3 Year Canada Government Bond Index,Fixed Income,Govt Bond,North America,Canada,N/A,N/A,Short (1-3yr),Government,N/A,CAD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,XSB.TO,,,,,,,23/11/2000
ICE BofA 1-3 Year Canada Government Bond Index (USD Hedged),Fixed Income,Govt Bond,North America,Canada,N/A,N/A,Short (1-3yr),Government,N/A,CAD,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA 10+ Year Canada Government Bond Index,Fixed Income,Govt Bond,North America,Canada,N/A,N/A,Long (10yr+),Government,N/A,CAD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,XLB.TO,,,,,,,10/11/2006
ICE BofA 10+ Year Canada Government Bond Index (USD Hedged),Fixed Income,Govt Bond,North America,Canada,N/A,N/A,Long (10yr+),Government,N/A,CAD,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Canada Real Return Bond Index (Inflation-Linked),Fixed Income,Government Inflation-Linked,North America,Canada,N/A,N/A,,Government,N/A,CAD,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,XRB.TO,,,,,,,28/12/2005
Canada Real Return Bond Index (USD Hedged),Fixed Income,Government Inflation-Linked,North America,Canada,N/A,N/A,,Government,N/A,CAD,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
ICE BofA Germany Government Bond Index (Bunds),Fixed Income,Govt Bond,Europe,Germany,N/A,N/A,,Government,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,EXX6.DE,,,,,,,02/01/2008
ICE BofA Germany Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Europe,Germany,N/A,N/A,,Government,N/A,EUR,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
France Government Bond Index (OATs),Fixed Income,Govt Bond,Europe,France,N/A,N/A,,Government,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IFRB.L,,,,,,,08/05/2012
France Government Bond Index (USD Hedged),Fixed Income,Govt Bond,Europe,France,N/A,N/A,,Government,N/A,EUR,TRUE,USD,TRUE,N/A,UNAVAILABLE,UNAVAILABLE,,,,,,,,,
Italy Government Bond Index (BTPs),Fixed Income,Govt Bond,Europe,Italy,N/A,N/A,,Government,N/A,EUR,FALSE,N/A,TRUE,ETF,yfinance TR,CONFIRMED,,IITB.L,,,,,,,15/05/2012
